"","c..Error.in.if...is.null.undersample....sum.df.frequency.....undersample.......n..argument.is.of.length.zero.n..."
"1","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"2","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"3","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"4","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"5","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"6","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"7","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"8","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"9","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"10","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"11","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"12","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"13","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"14","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"15","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"16","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"17","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"18","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"19","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"20","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"21","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"22","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"23","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"24","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"25","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"26","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"27","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"28","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"29","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"30","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"31","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"32","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"33","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"34","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"35","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"36","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"37","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"38","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"39","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"40","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"41","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"42","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"43","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"44","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"45","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
"46","Error in if (!is.null(undersample) & sum(df$frequency) >= undersample) { : 
  argument is of length zero
"
